# vtk DataFile Version 2.0
field data: pressure, temperature
ASCII
DATASET STRUCTURED_POINT
DIMENSIONS          100         100
ORIGIN      0.4950E-02      0.4950E-02
SPACING      0.9901E-02      0.9901E-02
     0.1348E+06,      0.6967E+00
     0.1348E+06,      0.6866E+00
     0.1348E+06,      0.6765E+00
     0.1348E+06,      0.6664E+00
     0.1348E+06,      0.6563E+00
     0.1348E+06,      0.6462E+00
     0.1348E+06,      0.6361E+00
     0.1348E+06,      0.6260E+00
     0.1348E+06,      0.6159E+00
     0.1348E+06,      0.6058E+00
     0.1348E+06,      0.5957E+00
     0.1348E+06,      0.5856E+00
     0.1348E+06,      0.5755E+00
     0.1348E+06,      0.5654E+00
     0.1348E+06,      0.5553E+00
     0.1348E+06,      0.5452E+00
     0.1348E+06,      0.5351E+00
     0.1348E+06,      0.5250E+00
     0.1348E+06,      0.5149E+00
     0.1348E+06,      0.5048E+00
     0.1348E+06,      0.4947E+00
     0.1348E+06,      0.4846E+00
     0.1348E+06,      0.4745E+00
     0.1348E+06,      0.4644E+00
     0.1348E+06,      0.4543E+00
     0.1348E+06,      0.4442E+00
     0.1348E+06,      0.4341E+00
     0.1348E+06,      0.4240E+00
     0.1348E+06,      0.4139E+00
     0.1348E+06,      0.4038E+00
     0.1348E+06,      0.3937E+00
     0.1348E+06,      0.3836E+00
     0.1348E+06,      0.3735E+00
     0.1348E+06,      0.3634E+00
     0.1348E+06,      0.3533E+00
     0.1348E+06,      0.3432E+00
     0.1348E+06,      0.3331E+00
     0.1348E+06,      0.3230E+00
     0.1348E+06,      0.3129E+00
     0.1348E+06,      0.3028E+00
     0.1348E+06,      0.2927E+00
     0.1348E+06,      0.2826E+00
     0.1348E+06,      0.2726E+00
     0.1348E+06,      0.2625E+00
     0.1348E+06,      0.2524E+00
     0.1348E+06,      0.2423E+00
     0.1348E+06,      0.2322E+00
     0.1348E+06,      0.2221E+00
     0.1348E+06,      0.2120E+00
     0.1348E+06,      0.2019E+00
     0.1348E+06,      0.1918E+00
     0.1348E+06,      0.1817E+00
     0.1348E+06,      0.1716E+00
     0.1348E+06,      0.1615E+00
     0.1348E+06,      0.1514E+00
     0.1348E+06,      0.1413E+00
     0.1348E+06,      0.1312E+00
     0.1348E+06,      0.1211E+00
     0.1348E+06,      0.1110E+00
     0.1348E+06,      0.1009E+00
     0.1348E+06,      0.9085E-01
